1451602800.0 1.0873
1451689200.0 1.0873
1451775600.0 1.0873
1451862000.0 1.0854
1451948400.0 1.0846
1452034800.0 1.0858
1452121200.0 1.0857
1452207600.0 1.0874
1452294000.0 1.0874
1452380400.0 1.0874
1452466800.0 1.0879
1452553200.0 1.0877
1452639600.0 1.095
1452726000.0 1.0919
1452812400.0 1.0933
1452898800.0 1.0933
1452985200.0 1.0933
1453071600.0 1.0947
1453158000.0 1.0951
1453244400.0 1.0941
1453330800.0 1.0954
1453417200.0 1.0972
1453503600.0 1.0972
1453590000.0 1.0972
1453676400.0 1.099
1453762800.0 1.1055
1453849200.0 1.1064
1453935600.0 1.1092
1454022000.0 1.1086
1454108400.0 1.1086
1454194800.0 1.1086
1454281200.0 1.1105
1454367600.0 1.1128
1454454000.0 1.1148
1454540400.0 1.1133
1454626800.0 1.1066
1454713200.0 1.1066
1454799600.0 1.1066
1454886000.0 1.1053
1454972400.0 1.0989
1455058800.0 1.0983
1455145200.0 1.1005
1455231600.0 1.0991
1455318000.0 1.0991
1455404400.0 1.0991
1455490800.0 1.1015
1455577200.0 1.1012
1455663600.0 1.1046
1455750000.0 1.1031
1455836400.0 1.1018
1455922800.0 1.1018
1456009200.0 1.1018
1456095600.0 1.1026
1456182000.0 1.0928
1456268400.0 1.0893
1456354800.0 1.0917
1456441200.0 1.0898
1456527600.0 1.0898
1456614000.0 1.0898
1456700400.0 1.0862
1456786800.0 1.0838
1456873200.0 1.0832
1456959600.0 1.0861
1457046000.0 1.0931
1457132400.0 1.0931
1457218800.0 1.0931
1457305200.0 1.0966
1457391600.0 1.0959
1457478000.0 1.0969
1457564400.0 1.1011
1457650800.0 1.0959
1457737200.0 1.0959
1457823600.0 1.0959
1457910000.0 1.0964
1457996400.0 1.0961
1458082800.0 1.0972
1458169200.0 1.0946
1458255600.0 1.093
1458342000.0 1.093
1458428400.0 1.093
1458514800.0 1.091
1458601200.0 1.0912
1458687600.0 1.0905
1458774000.0 1.0907
1458860400.0 1.0909
1458946800.0 1.0909
1459033200.0 1.0909
1459116000.0 1.0904
1459202400.0 1.0911
1459288800.0 1.0938
1459375200.0 1.0942
1459461600.0 1.0917
1459548000.0 1.0917
1459634400.0 1.0917
1459720800.0 1.0923
1459807200.0 1.0883
1459893600.0 1.0896
1459980000.0 1.0872
1460066400.0 1.0837
1460152800.0 1.0837
1460239200.0 1.0837
1460325600.0 1.089
1460412000.0 1.0876
1460498400.0 1.0903
1460584800.0 1.0887
1460671200.0 1.0924
1460757600.0 1.0924
1460844000.0 1.0924
1460930400.0 1.0914
1461016800.0 1.0924
1461103200.0 1.098
1461189600.0 1.0997
1461276000.0 1.1016
1461362400.0 1.1016
1461448800.0 1.1016
1461535200.0 1.0991
1461621600.0 1.1001
1461708000.0 1.1001
1461794400.0 1.0974
1461880800.0 1.0985
1461967200.0 1.0985
1462053600.0 1.0985
1462140000.0 1.1007
1462226400.0 1.0979
1462312800.0 1.0999
1462399200.0 1.1039
1462485600.0 1.109
1462572000.0 1.109
1462658400.0 1.109
1462744800.0 1.1056
1462831200.0 1.1098
1462917600.0 1.1093
1463004000.0 1.1044
1463090400.0 1.1026
1463176800.0 1.1026
1463263200.0 1.1026
1463349600.0 1.1062
1463436000.0 1.1091
1463522400.0 1.1079
1463608800.0 1.1095
1463695200.0 1.1114
1463781600.0 1.1114
1463868000.0 1.1114
1463954400.0 1.1103
1464040800.0 1.1067
1464127200.0 1.1059
1464213600.0 1.1072
1464300000.0 1.1056
1464386400.0 1.1056
1464472800.0 1.1056
1464559200.0 1.105
1464645600.0 1.1061
1464732000.0 1.1056
1464818400.0 1.1049
1464904800.0 1.1091
1464991200.0 1.1091
1465077600.0 1.1091
1465164000.0 1.1025
1465250400.0 1.0964
1465336800.0 1.0932
1465423200.0 1.0917
1465509600.0 1.0878
1465596000.0 1.0878
1465682400.0 1.0878
1465768800.0 1.0881
1465855200.0 1.0801
1465941600.0 1.0831
1466028000.0 1.0835
1466114400.0 1.086
1466200800.0 1.086
1466287200.0 1.086
1466373600.0 1.0881
1466460000.0 1.0826
1466546400.0 1.0867
1466632800.0 1.1004
1466719200.0 1.0802
1466805600.0 1.0802
1466892000.0 1.0802
1466978400.0 1.0776
1467064800.0 1.086
1467151200.0 1.0898
1467237600.0 1.0839
